method,world_model,policy_arch,dataset,warmstart,regularization,seed,checkpoint_kind,imagined_return,real_return,episode_length,fall_rate,wandb_url,video_path,git_sha,conclusion
collector_reference,native_rslrl_ppo_conservative,native_policy,native_collector_checkpoint,none,none,1,collector,,82.608955,1000.00,0.000,https://wandb.ai/danny010324/flow-mbpo-mjlab-collector-baselines-20260528/runs/swwdza3g,scripts/outputs/mjlab_qs/native_collector_rollouts/rerun_g1_collector_reference_rollouts_20260528/velocity_flat_unitree_g1/expert_seed1_iter15000/seed_1/rollout.mp4,83c9768,expert collector target
collector_reference,native_rslrl_ppo_conservative,native_policy,native_collector_checkpoint,none,action_noise,1,collector,,80.352516,1000.00,0.000,https://wandb.ai/danny010324/flow-mbpo-mjlab-collector-baselines-20260528/runs/cu62wnbc,scripts/outputs/mjlab_qs/native_collector_rollouts/rerun_g1_collector_reference_rollouts_20260528/velocity_flat_unitree_g1/expert_noisy_seed1_iter15000/seed_1/rollout.mp4,83c9768,expert noisy target
collector_reference,native_rslrl_ppo_conservative,native_policy,native_collector_checkpoint,none,none,2,collector,,49.193462,653.33,0.667,https://wandb.ai/danny010324/flow-mbpo-mjlab-collector-baselines-20260528/runs/rh31kxs7,scripts/outputs/mjlab_qs/native_collector_rollouts/rerun_g1_collector_reference_rollouts_20260528/velocity_flat_unitree_g1/medium_seed2_iter15000/seed_2/rollout.mp4,83c9768,medium collector reference
collector_reference,random_smooth,random_smooth,none,none,none,0,collector,,0.485703,75.33,1.000,https://wandb.ai/danny010324/flow-mbpo-mjlab-collector-baselines-20260528/runs/ltam24zf,scripts/outputs/mjlab_qs/native_collector_rollouts/rerun_g1_collector_reference_rollouts_20260528/velocity_flat_unitree_g1/random_smooth/seed_0/rollout.mp4,83c9768,random failure reference
bc_only,mlp_ref,mlp,rerun_a25_native_qs_g1stage4_expertboost_20260527,bc_expert_expert_noisy,quality_balanced,0-2,final,,19.082726,238.22,0.333,https://wandb.ai/danny010324/flow-mbpo-mjlab-bc-expert-20260528/runs/jebhwezc;https://wandb.ai/danny010324/flow-mbpo-mjlab-bc-expert-20260528/runs/ucbm020h;https://wandb.ai/danny010324/flow-mbpo-mjlab-bc-expert-20260528/runs/xfyb30lu,scripts/outputs/mjlab_qs/policy_rollouts/rerun_g1_bc_expert_mlp50k_20260528,see_phaseA_log,prior expert-filtered BC baseline
bc_only,mlp_ref,mlp,rerun_a25_native_qs_g1stage4_expertboost_20260527,bc_expert_expert_noisy,uniform_sampling,0-2,final,,21.548130,267.89,0.222,https://wandb.ai/danny010324/flow-mbpo-mjlab-bc-expert-uniform-20260528/runs/ziehc1zh;https://wandb.ai/danny010324/flow-mbpo-mjlab-bc-expert-uniform-20260528/runs/b86d6pld;https://wandb.ai/danny010324/flow-mbpo-mjlab-bc-expert-uniform-20260528/runs/kmjeq05t,scripts/outputs/mjlab_qs/policy_rollouts/rerun_g1_bc_expert_uniform_mlp50k_20260528,9c6fa4c,modest BC rollout improvement but far below collector
bc_only,mlp_ref,mlp,rerun_a25_native_qs_g1stage4_expertboost_20260527,bc_expert_expert_noisy,uniform_sampling,0-2,best,,21.593652,267.89,0.222,https://wandb.ai/danny010324/flow-mbpo-mjlab-bc-expert-uniform-20260528/runs/11tf2znc;https://wandb.ai/danny010324/flow-mbpo-mjlab-bc-expert-uniform-20260528/runs/cmv1kjpo;https://wandb.ai/danny010324/flow-mbpo-mjlab-bc-expert-uniform-20260528/runs/p71ombzy,scripts/outputs/mjlab_qs/policy_rollouts/rerun_g1_bc_expert_uniform_mlp50k_20260528,9c6fa4c,best equals BC snapshot and is only marginally above final
bc_only,mlp_ref,mlp,rerun_a25_native_qs_g1stage4_expertboost_20260527,bc_expert_expert_noisy,uniform_sampling_action_rate_1e-2,0-2,final,,21.562137,267.89,0.222,https://wandb.ai/danny010324/flow-mbpo-mjlab-bc-expert-uniform-smooth-20260528/runs/5f9et04a;https://wandb.ai/danny010324/flow-mbpo-mjlab-bc-expert-uniform-smooth-20260528/runs/lk9cr22p;https://wandb.ai/danny010324/flow-mbpo-mjlab-bc-expert-uniform-smooth-20260528/runs/2quaut5a,scripts/outputs/mjlab_qs/policy_rollouts/rerun_g1_bc_expert_uniform_smooth1e2_mlp50k_20260528,f71489b,smoothness improves eval but not rendered rollout
bc_only,mlp_ref,mlp,rerun_a25_native_qs_g1stage4_expertboost_20260527,bc_expert_expert_noisy,uniform_sampling_action_rate_1e-2,0-2,best,,21.566627,267.89,0.222,https://wandb.ai/danny010324/flow-mbpo-mjlab-bc-expert-uniform-smooth-20260528/runs/o2fpcvmb;https://wandb.ai/danny010324/flow-mbpo-mjlab-bc-expert-uniform-smooth-20260528/runs/e4hj0jlj;https://wandb.ai/danny010324/flow-mbpo-mjlab-bc-expert-uniform-smooth-20260528/runs/rz1h2svk,scripts/outputs/mjlab_qs/policy_rollouts/rerun_g1_bc_expert_uniform_smooth1e2_mlp50k_20260528,f71489b,smooth best equals BC snapshot and remains near uniform BC
bc_only,mlp_ref,mlp,rerun_a25_native_qs_g1stage4_expertboost_20260527,bc_expert_expert_noisy,uniform_sampling_longroll1000,0-2,final,,41.896453,547.78,0.667,https://wandb.ai/danny010324/flow-mbpo-mjlab-bc-longroll1000-20260528/runs/63wb3ny8;https://wandb.ai/danny010324/flow-mbpo-mjlab-bc-longroll1000-20260528/runs/p1uf8prz;https://wandb.ai/danny010324/flow-mbpo-mjlab-bc-longroll1000-20260528/runs/dh62wzn5,scripts/outputs/mjlab_qs/policy_rollouts/rerun_g1_bc_longroll1000_uniform_vs_smooth_20260528,e0acdcb,1000 step horizon recovers much higher BC return and length
